model,fluency_1to5,factual_consistency_1to5,coverage_1to5,conciseness_1to5,overall_mean,n_outputs,fluency_1to5_rank,factual_consistency_1to5_rank,coverage_1to5_rank,conciseness_1to5_rank,overall_mean_rank,fluency_1to5_minus_Lead-3,factual_consistency_1to5_minus_Lead-3,coverage_1to5_minus_Lead-3,conciseness_1to5_minus_Lead-3,overall_mean_minus_Lead-3,"fluency_1to5_minus_Fine-tuned BART-base, 1024-token truncation","factual_consistency_1to5_minus_Fine-tuned BART-base, 1024-token truncation","coverage_1to5_minus_Fine-tuned BART-base, 1024-token truncation","conciseness_1to5_minus_Fine-tuned BART-base, 1024-token truncation","overall_mean_minus_Fine-tuned BART-base, 1024-token truncation"
BART-large-CNN reference,4.867,4.967,3.567,3.933,4.334,30,1,2,1,1,1,0.067,-0.033,1.067,0.533,0.409,0.5,0.2,0.767,0.566,0.509
Lead-3,4.8,5.0,2.5,3.4,3.925,30,2,1,3,3,2,0.0,0.0,0.0,0.0,0.0,0.433,0.233,-0.3,0.033,0.1
"Fine-tuned BART-base, 1024-token truncation",4.367,4.767,2.8,3.367,3.825,30,3,3,2,4,3,-0.433,-0.233,0.3,-0.033,-0.1,0.0,0.0,0.0,0.0,0.0
Hierarchical BART,4.267,4.633,2.5,3.6,3.75,30,4,4,3,2,4,-0.533,-0.367,0.0,0.2,-0.175,-0.1,-0.134,-0.3,0.233,-0.075
Fine-tuned LED-base-16384 CNN/DM,3.2,3.8,2.267,3.033,3.075,30,5,5,5,5,5,-1.6,-1.2,-0.233,-0.367,-0.85,-1.167,-0.967,-0.533,-0.334,-0.75
